#CGMF SUMMARY FILE
#Generated: 2017-06-15 18:27
#Number of CGMF Output Files: 64
#
#File				# Hist	<TXE>	1sig		<TKE>	1sig		<J>		1sig		<nn>	n-mom2	n-mom3	<ng>	g-mom2	g-mom3	<En>	1sig		<Eg>	1sig
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
output23.txt		10000	33.190	9.805E+00	184.842	1.070E+01	10.884	6.106E+00	3.879	12.951	36.674	9.517	95.772	1015.41	1.870	1.581E+00	0.884	9.174E-03
output1.txt			10000	33.162	9.826E+00	184.835	1.067E+01	10.845	6.067E+00	3.890	13.043	36.985	9.418	93.914	987.19	1.860	1.571E+00	0.882	9.176E-03
output4.txt			10000	33.270	9.947E+00	184.814	1.078E+01	10.782	6.091E+00	3.893	13.093	37.583	9.440	94.242	991.25	1.865	1.575E+00	0.886	9.184E-03
output16.txt		10000	33.010	9.754E+00	185.037	1.066E+01	10.846	6.109E+00	3.866	12.838	36.074	9.468	94.907	1001.97	1.870	1.571E+00	0.877	9.154E-03
output26.txt		10000	33.255	9.970E+00	184.709	1.085E+01	10.872	6.161E+00	3.893	13.097	37.597	9.495	95.344	1005.01	1.867	1.584E+00	0.886	9.189E-03
output56.txt		10000	33.202	9.796E+00	184.907	1.062E+01	10.820	6.029E+00	3.884	12.988	36.804	9.413	93.612	978.82	1.870	1.579E+00	0.882	9.151E-03
output42.txt		10000	33.147	1.007E+01	184.930	1.083E+01	10.819	6.110E+00	3.877	12.980	37.081	9.435	94.284	990.56	1.873	1.583E+00	0.879	9.156E-03
output40.txt		10000	33.339	9.893E+00	184.601	1.064E+01	10.870	6.140E+00	3.906	13.168	37.781	9.513	96.149	1028.65	1.875	1.575E+00	0.884	9.194E-03
output43.txt		10000	33.106	9.876E+00	184.870	1.069E+01	10.820	6.048E+00	3.877	12.973	36.925	9.468	94.343	985.90	1.868	1.569E+00	0.884	9.194E-03
output55.txt		10000	33.288	9.814E+00	184.907	1.060E+01	10.828	6.045E+00	3.894	13.083	37.353	9.459	94.727	1000.94	1.872	1.588E+00	0.878	9.172E-03
output44.txt		10000	33.211	9.867E+00	184.798	1.080E+01	10.868	6.099E+00	3.893	13.106	37.642	9.483	95.011	1000.86	1.867	1.567E+00	0.882	9.171E-03
output60.txt		10000	33.124	9.796E+00	184.976	1.071E+01	10.738	6.023E+00	3.877	12.962	36.888	9.417	93.635	978.72	1.879	1.583E+00	0.890	9.187E-03
output15.txt		10000	33.163	9.843E+00	184.841	1.076E+01	10.906	6.076E+00	3.874	12.962	36.916	9.512	95.834	1015.98	1.876	1.582E+00	0.883	9.144E-03
output8.txt			10000	33.175	1.001E+01	184.830	1.091E+01	10.806	6.049E+00	3.884	13.042	37.430	9.505	95.464	1010.00	1.857	1.559E+00	0.883	9.171E-03
output39.txt		10000	33.189	9.930E+00	184.806	1.079E+01	10.898	6.114E+00	3.878	13.006	37.150	9.521	95.589	1006.39	1.872	1.568E+00	0.886	9.151E-03
output29.txt		10000	33.181	9.856E+00	184.806	1.068E+01	10.826	6.015E+00	3.888	13.045	37.320	9.496	95.253	1005.17	1.877	1.575E+00	0.883	9.157E-03
output53.txt		10000	33.251	1.007E+01	184.770	1.080E+01	10.890	6.131E+00	3.886	13.059	37.462	9.515	95.766	1015.83	1.879	1.601E+00	0.885	9.182E-03
output34.txt		10000	32.984	9.865E+00	185.002	1.069E+01	10.814	6.056E+00	3.857	12.835	36.251	9.462	94.434	986.33	1.873	1.586E+00	0.880	9.142E-03
output24.txt		10000	33.120	9.889E+00	184.907	1.082E+01	10.848	6.095E+00	3.879	12.958	36.838	9.472	94.559	990.67	1.872	1.578E+00	0.884	9.196E-03
output63.txt		10000	33.368	1.006E+01	184.720	1.089E+01	10.910	6.127E+00	3.894	13.120	37.730	9.489	95.235	1009.98	1.887	1.578E+00	0.883	9.194E-03
output3.txt			10000	33.270	9.802E+00	184.826	1.068E+01	10.826	6.080E+00	3.903	13.141	37.720	9.455	94.753	1001.18	1.857	1.571E+00	0.882	9.135E-03
output14.txt		10000	33.266	1.005E+01	184.849	1.086E+01	10.800	6.087E+00	3.884	13.046	37.385	9.436	94.425	997.27	1.881	1.598E+00	0.889	9.197E-03
output49.txt		10000	33.323	9.957E+00	184.688	1.072E+01	10.868	6.092E+00	3.903	13.149	37.699	9.489	95.092	1002.12	1.867	1.576E+00	0.881	9.190E-03
output33.txt		10000	33.153	9.936E+00	184.883	1.087E+01	10.825	6.122E+00	3.869	12.938	36.852	9.489	95.532	1016.99	1.874	1.578E+00	0.883	9.138E-03
output37.txt		10000	33.154	9.903E+00	184.955	1.071E+01	10.769	6.068E+00	3.877	12.948	36.734	9.450	94.117	982.72	1.868	1.570E+00	0.884	9.141E-03
output46.txt		10000	33.071	9.876E+00	184.868	1.081E+01	10.763	6.020E+00	3.869	12.924	36.802	9.434	94.253	995.23	1.877	1.582E+00	0.886	9.166E-03
output54.txt		10000	33.215	9.886E+00	184.842	1.075E+01	10.826	6.050E+00	3.893	13.081	37.478	9.444	94.267	988.69	1.863	1.574E+00	0.882	9.185E-03
